Step TotalEnergy PotentialEnergy KineticEnergy Temperature
140 -27727.080700799466285 -27727.168755929411418 0.088055129944178703316 0.08888867998967915629
150 -27726.720915605998016 -27727.168685317148629 0.44776971115010433255 0.45200840188100788186
160 -27726.384911593617289 -27727.168678625130269 0.78376703151418891657 0.79118634990250502614
170 -27726.057680530931975 -27727.168612232715532 1.1109317017847284426 1.1214480359399059406
180 -27725.585960077107302 -27727.140827587878448 1.5548675107699183595 1.5695862430592359971
190 -27725.184491980344319 -27727.140428957078257 1.9559369767349739089 1.9744523245288732038
200 -27724.814515446498262 -27727.137405477995344 2.3228900314986096198 2.3448790410279314322
210 -27724.402790426775027 -27727.136599016161199 2.7338085893872938748 2.7596874481831177306
220 -27724.004964190451574 -27727.16334581119736 3.1583816207442496626 3.1882795851825296296
230 -27723.628222786399419 -27727.16211739352002 3.5338946071201040589 3.5673472635686964693
240 -27723.400031719484105 -27727.160553878911742 3.7605221594290747511 3.7961201242391284794
250 -27723.029005714372033 -27727.158851219282951 4.1298455049098174996 4.1689395691705790625
260 -27722.78984267776832 -27727.129265182455129 4.3394225046864320916 4.3805004728697749528
270 -27722.434726620209403 -27727.126670549841947 4.6919439296329361611 4.7363589464355966285
280 -27722.142530566146888 -27727.151259629630658 5.0087290634847505544 5.0561428409831643549
290 -27721.867442455361015 -27727.147816585671535 5.2803741303108164828 5.3303593622827669662
300 -27721.515790445133462 -27727.1439211024408 5.6281306573067810817 5.681407832281760939
310 -27721.153662106054981 -27727.139614913779951 5.9859528077235859556 6.0426172092003049841
320 -27720.728627683140076 -27727.132207853905129 6.403580170764183066 6.4641979285948742984
330 -27720.255629198389215 -27727.12661052725889 6.8709813288686172328 6.9360236132073262993
340 -27719.792986488522729 -27727.120600406335143 7.3276139178118144812 7.396978790914310764
350 -27719.441111625754274 -27727.11431639285729 7.67320476710133903 7.7458410824052430499
360 -27719.148712364891253 -27727.079806325913523 7.9310939610211192985 8.0061715145522818204
370 -27718.90840086449316 -27727.072440824143996 8.1640399596516584069 8.2413226334055806888
380 -27718.589592248394183 -27727.064369485262432 8.4747772368677320998 8.5550014209201048487
390 -27718.144473381173157 -27727.055362946055538 8.9108895648824866242 8.9952420882047050554
400 -27717.523877142382844 -27727.045550989059848 9.521673846677680686 9.6118081940254178619
410 -27717.151342962730268 -27727.034878935981396 9.8835359732496907981 9.9770957904395611848
420 -27716.711119069183042 -27727.023520075039414 10.312401005856481007 10.410020557756523019
430 -27716.194468731457164 -27726.955942762091581 10.76147403063343333 10.863344610729937401
440 -27715.830664467361203 -27726.942469536545104 11.111805069183628092 11.21699196319970504
450 -27715.660528168322344 -27726.983391626192315 11.32286345786843107 11.430048278974082265
460 -27715.443337284359586 -27726.968425107963412 11.525087823605558057 11.634186946914480743
470 -27714.988989595251041 -27726.897410766465327 11.908421171215923806 12.021149015867317544
480 -27714.586632356280461 -27726.908068338641897 12.32143598235966131 12.438073519891407415
490 -27714.471063815864909 -27726.91733801112423 12.446274195257860384 12.564093479930374286
500 -27714.02047978932751 -27726.895514702871878 12.875034913543428772 12.996912945462835154
510 -27713.570496302410902 -27726.874977658320859 13.304481355910734663 13.430424626298384183
520 -27712.904608547240059 -27726.853161309452844 13.948552762211338774 14.080592960175698281
530 -27712.265547620652796 -27726.830293634418922 14.564746013767454258 14.702619238305022265
540 -27711.751972426493012 -27726.774110637627018 15.022138211133427177 15.164341215062242085
550 -27711.393806473024597 -27726.75120002422409 15.357393551198196491 15.50277015902882205
560 -27710.977336554238718 -27726.724751313577144 15.747414759337672763 15.896483397331639509
570 -27710.551959523305413 -27726.699713292480737 16.147753769176933503 16.300612108010348322
580 -27710.310955514967645 -27726.671215976144595 16.360260461176288516 16.515130437070457248
590 -27709.99389161686122 -27726.642174692715344 16.648283075854827473 16.805879539844834625
600 -27709.652479470962135 -27726.61187958654773 16.959400115583960655 17.119941684791424308
610 -27709.370182447320985 -27726.607983922142012 17.237801474821321079 17.400978455115073018
620 -27708.95823126400137 -27726.575659593883756 17.617428329880937099 17.784198945009013215
630 -27708.453633525412442 -27726.539311522443313 18.085677997032323816 18.256881170849563745
640 -27708.044754641265172 -27726.530991938656371 18.486237297392204226 18.66123225736945912
650 -27707.788594554145675 -27726.494056173447461 18.705461619301843257 18.882531806964507837
660 -27707.347154462902836 -27726.455626289636712 19.108471826735026866 19.289357001405900149
670 -27707.011329554079566 -27726.415693895629374 19.404364341548056672 19.588050502593510771
680 -27706.229868867969344 -27726.373879992112052 20.14401112414240913 20.334698951185934845
690 -27705.871929553388327 -27726.305566863564309 20.433637310176933966 20.627066805090350954
700 -27705.480620598056703 -27726.261242827495153 20.78062222943809445 20.977336363138842756
710 -27705.110294341480767 -27726.243955634359736 21.133661292878670679 21.333717375283381301
720 -27704.877390454090346 -27726.198103389666358 21.320712935574920976 21.522539691708459486
730 -27704.97766543797843 -27726.096136104446487 21.118470666469121966 21.318382950921996866
740 -27704.296458856315439 -27726.048068361917103 21.751609505603450856 21.957515227446094741
750 -27704.191834361768997 -27725.998658353386418 21.806823991617282132 22.013252386441706676
760 -27704.224286808377656 -27725.892893145151902 21.66860633677446657 21.873726331593619676
770 -27703.741846226748748 -27725.841557071791613 22.099710845043230023 22.30891177396253866
780 -27703.372377694216993 -27725.789029263665725 22.416651569448124093 22.628852731919028685
